candidate_id,rank,score,reasoning
CAND_0081852,42,0.7076,"Strong candidate with 5.9 YoE as a Senior Data Scientist, based in Delhi, Delhi. Proven fit with expert alignment in Milvus, Weaviate, Vector Search; notice period is 45 days and active with 44% response rate. Note: lower response rate (44%)."
CAND_0079387,43,0.7072,"Strong candidate with 6.9 YoE as a AI Engineer, based in Trivandrum, Kerala. Proven fit with expert alignment in Vector Search; on a 30-day notice and highly active (81% response). Note: requires relocation support."
CAND_0039383,44,0.7071,"7.1 YoE as a Applied ML Engineer showing expert alignment in FAISS, Vector Search, Elasticsearch. Located in Gurgaon, Haryana, active with 61% response rate and notice period is 90 days. Note: long notice period (90 days)."
CAND_0068932,45,0.7067,"5.2 YoE as a ML Engineer showing expert alignment in Milvus, RAG. Located in Noida, Uttar Pradesh, highly active (82% response) and on a 30-day notice."
CAND_0053605,46,0.7053,"6.9 YoE as a Senior Software Engineer (ML) showing expert alignment in RAG. Located in Noida, Uttar Pradesh, highly active (88% response) and on a 30-day notice."
CAND_0043228,47,0.7052,"Strong candidate with 6.8 YoE as a Applied ML Engineer, based in Chennai, Tamil Nadu. Proven fit with expert alignment in Vector Search, Weaviate; on a 30-day notice and active with 41% response rate. Note: lower response rate (41%)."
CAND_0030953,48,0.7046,"Excellent technical alignment with expert alignment in Qdrant, Weaviate, RAG across 7.8 YoE as a Search Engineer. notice period is 45 days, based in Chennai, Tamil Nadu, showing active with 63% response rate."
CAND_0018549,49,0.7044,"6.8 YoE as a Recommendation Systems Engineer showing expert alignment in Weaviate, Elasticsearch, Qdrant. Located in Coimbatore, Tamil Nadu, active with 73% response rate and notice period is 60 days. Note: long notice period (60 days)."
CAND_0083879,50,0.7043,"7.1 YoE as a Machine Learning Engineer showing expert alignment in Milvus. Located in Noida, Uttar Pradesh, active with 47% response rate and on a 30-day notice. Note: lower response rate (47%)."
CAND_0026532,51,0.7037,"4.8 YoE as a Recommendation Systems Engineer showing expert alignment in Information Retrieval, Pinecone, FAISS. Located in Chennai, Tamil Nadu, active with 52% response rate and notice period is 90 days. Note: experience is slightly below the 5-9 year target, long notice period (90 days)."
CAND_0018722,52,0.7036,"6.6 YoE as a Recommendation Systems Engineer showing expert alignment in Weaviate. Located in Toronto, active with 79% response rate and notice period is 90 days. Note: long notice period (90 days)."
CAND_0036184,53,0.7034,"Excellent technical alignment with expert alignment in FAISS, Vector Search, Pinecone across 6.0 YoE as a Recommendation Systems Engineer. on a 30-day notice, based in Trivandrum, Kerala, showing highly active (90% response). Note: requires relocation support."
CAND_0028793,54,0.701,"Strong candidate with 7.2 YoE as a Search Engineer, willing to relocate to Pune/Noida. Proven fit with expert alignment in Information Retrieval; notice period is 120 days and active with 56% response rate. Note: long notice period (120 days)."
CAND_0006418,55,0.7005,"Excellent technical alignment with expert alignment in Weaviate, Elasticsearch, Qdrant across 5.7 YoE as a Machine Learning Engineer. notice period is 60 days, based in Gurgaon, Haryana, showing highly active (92% response). Note: long notice period (60 days)."
CAND_0004402,56,0.7004,"6.0 YoE as a AI Research Engineer showing expert alignment in Qdrant. Located in Delhi, Delhi, highly active (83% response) and notice period is 60 days. Note: long notice period (60 days)."
CAND_0015967,57,0.7001,"5.4 YoE as a Senior Software Engineer (ML) showing expert alignment in Pinecone. Located in Hyderabad, Telangana, active with 45% response rate and on a 30-day notice. Note: lower response rate (45%)."
CAND_0067866,58,0.7,"6.4 YoE as a Senior Software Engineer (ML) showing expert alignment in Elasticsearch, Qdrant. Located in Noida, Uttar Pradesh, active with 79% response rate and notice period is 45 days."
CAND_0099806,59,0.6997,"Strong candidate with 4.6 YoE as a AI Engineer, willing to relocate to Pune/Noida. Proven fit with expert alignment in RAG, FAISS, Weaviate; on a 30-day notice and active with 76% response rate. Note: experience is slightly below the 5-9 year target."
CAND_0088025,60,0.6984,"8.6 YoE as a Staff Machine Learning Engineer showing expert alignment in Pinecone, RAG, Elasticsearch. Located in Jaipur, Rajasthan, highly active (83% response) and notice period is 90 days. Note: long notice period (90 days), requires relocation support."
CAND_0078492,61,0.6973,"Excellent technical alignment with expert alignment in FAISS, Qdrant, Elasticsearch across 5.1 YoE as a Recommendation Systems Engineer. on a 30-day notice, willing to relocate to Pune/Noida, showing active with 70% response rate."
CAND_0098454,62,0.6972,"6.6 YoE as a AI Specialist showing expert alignment in Vector Search, Pinecone, Weaviate. Located in Indore, Madhya Pradesh, highly active (87% response) and notice period is 60 days. Note: long notice period (60 days)."
CAND_0079064,63,0.697,"5.2 YoE as a Senior Data Scientist showing expert alignment in Pinecone. Located in Noida, Uttar Pradesh, highly active (91% response) and notice period is 120 days. Note: long notice period (120 days)."
CAND_0044222,64,0.6968,"Excellent technical alignment with expert alignment in Vector Search, Qdrant, Weaviate across 7.7 YoE as a AI Engineer. notice period is 60 days, based in Vizag, Andhra Pradesh, showing active with 60% response rate. Note: long notice period (60 days), requires relocation support."
CAND_0049538,65,0.6968,"Excellent technical alignment with expert alignment in Vector Search, Milvus, Elasticsearch across 5.8 YoE as a Applied ML Engineer. on a 30-day notice, based in Jaipur, Rajasthan, showing active with 72% response rate. Note: requires relocation support."
CAND_0071974,66,0.6966,"Strong candidate with 7.8 YoE as a Senior AI Engineer, based in Vizag, Andhra Pradesh. Proven fit with expert alignment in Weaviate, Pinecone, Information Retrieval; notice period is 45 days and active with 76% response rate. Note: requires relocation support."
CAND_0036437,67,0.6956,"Excellent technical alignment with expert alignment in Elasticsearch, Milvus, Vector Search across 4.8 YoE as a Search Engineer. on a 30-day notice, willing to relocate to Pune/Noida, showing highly active (87% response). Note: experience is slightly below the 5-9 year target."
CAND_0054394,68,0.6941,"4.1 YoE as a Recommendation Systems Engineer showing expert alignment in Pinecone. Located in Pune, Maharashtra, active with 64% response rate and on a 30-day notice. Note: experience is slightly below the 5-9 year target."
CAND_0007009,69,0.6934,"Excellent technical alignment with expert alignment in Weaviate across 7.9 YoE as a Recommendation Systems Engineer. on a 30-day notice, based in Noida, Uttar Pradesh, showing active with 62% response rate."
CAND_0005260,70,0.6908,"5.2 YoE as a Senior NLP Engineer showing expert alignment in Information Retrieval, RAG. Located in Chennai, Tamil Nadu, highly active (86% response) and notice period is 60 days. Note: long notice period (60 days)."
CAND_0075249,71,0.6908,"Strong candidate with 6.2 YoE as a Applied ML Engineer, based in Ahmedabad, Gujarat. Proven fit with expert alignment in Milvus, Pinecone; notice period is 45 days and highly active (82% response). Note: requires relocation support."
CAND_0024620,72,0.6905,"Excellent technical alignment with expert alignment in Information Retrieval, Elasticsearch across 5.9 YoE as a AI Engineer. notice period is 45 days, willing to relocate to Pune/Noida, showing active with 41% response rate. Note: lower response rate (41%)."
CAND_0079284,73,0.6905,"Excellent technical alignment with expert alignment in Qdrant, Elasticsearch across 4.9 YoE as a Machine Learning Engineer. on a 30-day notice, based in Hyderabad, Telangana, showing active with 79% response rate. Note: experience is slightly below the 5-9 year target."
CAND_0011432,74,0.6903,"7.6 YoE as a Senior Data Scientist showing expert alignment in Elasticsearch. Located in Chennai, Tamil Nadu, active with 67% response rate and notice period is 60 days. Note: long notice period (60 days)."
CAND_0097176,75,0.6903,"Excellent technical alignment with expert alignment in FAISS across 5.9 YoE as a ML Engineer. on a 30-day notice, based in Gurgaon, Haryana, showing active with 76% response rate."
CAND_0046064,76,0.6895,"Strong candidate with 8.9 YoE as a Senior NLP Engineer, based in Coimbatore, Tamil Nadu. Proven fit with expert alignment in Pinecone, Elasticsearch; on a 30-day notice and active with 78% response rate. Note: requires relocation support."
CAND_0017960,77,0.6859,"Excellent technical alignment with expert alignment in Qdrant, Information Retrieval across 7.7 YoE as a Recommendation Systems Engineer. notice period is 60 days, based in Bangalore, Karnataka, showing active with 72% response rate. Note: long notice period (60 days)."
CAND_0011327,78,0.6852,"6.3 YoE as a AI Research Engineer showing solid background in OpenSearch. Located in Gurgaon, Haryana, active with 79% response rate and notice period is 60 days. Note: long notice period (60 days)."
CAND_0070525,79,0.6849,"Excellent technical alignment with solid background in Python, LLMs, Embeddings across 5.4 YoE as a Senior Software Engineer (ML). notice period is 45 days, based in Hyderabad, Telangana, showing highly active (93% response)."
CAND_0055905,80,0.6848,"Strong candidate with 8.1 YoE as a Senior Machine Learning Engineer, based in London. Proven fit with expert alignment in Elasticsearch, Information Retrieval, Vector Search; on a 30-day notice and highly active (87% response). Note: requires relocation support."
CAND_0094759,81,0.6845,"Strong candidate with 8.6 YoE as a Lead AI Engineer, based in Mumbai, Maharashtra. Proven fit with expert alignment in Qdrant, Vector Search, FAISS; on a 30-day notice and active with 11% response rate. Note: lower response rate (11%)."
CAND_0091909,82,0.6827,"Strong candidate with 6.9 YoE as a Machine Learning Engineer, based in Bangalore, Karnataka. Proven fit with expert alignment in Pinecone, Qdrant; notice period is 45 days and active with 65% response rate."
CAND_0030348,83,0.6813,"4.5 YoE as a Machine Learning Engineer showing expert alignment in Vector Search, Elasticsearch. Located in Noida, Uttar Pradesh, active with 54% response rate and notice period is 45 days. Note: experience is slightly below the 5-9 year target."
CAND_0008425,84,0.6811,"Excellent technical alignment with expert alignment in Qdrant, Information Retrieval across 7.8 YoE as a Senior NLP Engineer. notice period is 90 days, based in Kolkata, West Bengal, showing active with 66% response rate. Note: long notice period (90 days), requires relocation support."
CAND_0075574,85,0.6808,"Excellent technical alignment with expert alignment in Weaviate, Qdrant, Vector Search across 5.7 YoE as a Machine Learning Engineer. notice period is 60 days, based in Bangalore, Karnataka, showing active with 57% response rate. Note: long notice period (60 days)."
CAND_0082086,86,0.6801,"6.0 YoE as a Senior Software Engineer (ML) showing expert alignment in FAISS, Pinecone, Milvus. Located in Delhi, Delhi, highly active (85% response) and notice period is 45 days."
CAND_0094292,87,0.6801,"6.5 YoE as a AI Specialist showing solid background in LLMs, PyTorch, NLP. Located in Mumbai, Maharashtra, active with 53% response rate and notice period is 60 days. Note: long notice period (60 days)."
CAND_0087630,88,0.6795,"Excellent technical alignment with expert alignment in Elasticsearch across 7.2 YoE as a AI Engineer. on a 30-day notice, based in Gurgaon, Haryana, showing active with 45% response rate. Note: lower response rate (45%)."
CAND_0053527,89,0.6792,"Strong candidate with 7.0 YoE as a Junior ML Engineer, based in Bangalore, Karnataka. Proven fit with expert alignment in Pinecone, Qdrant; notice period is 90 days and highly active (81% response). Note: long notice period (90 days)."
CAND_0093912,90,0.6782,"Excellent technical alignment with expert alignment in Milvus, Vector Search, Elasticsearch across 5.3 YoE as a Senior Data Scientist. on a 30-day notice, based in Chandigarh, Chandigarh, showing active with 66% response rate. Note: requires relocation support."
CAND_0070398,91,0.6755,"Strong candidate with 7.2 YoE as a Machine Learning Engineer, willing to relocate to Pune/Noida. Proven fit with expert alignment in RAG, FAISS, Information Retrieval; notice period is 120 days and active with 60% response rate. Note: long notice period (120 days)."
CAND_0098780,92,0.6753,"5.9 YoE as a AI Research Engineer showing expert alignment in Milvus, Weaviate, Pinecone. Located in Bangalore, Karnataka, active with 56% response rate and notice period is 60 days. Note: long notice period (60 days)."
CAND_0053695,93,0.675,"Excellent technical alignment with expert alignment in Pinecone across 5.8 YoE as a Recommendation Systems Engineer. available immediately, based in Bhubaneswar, Odisha, showing active with 60% response rate. Note: requires relocation support."
CAND_0005311,94,0.6748,"Excellent technical alignment with expert alignment in Qdrant across 5.7 YoE as a AI Research Engineer. on a 30-day notice, based in Mumbai, Maharashtra, showing active with 28% response rate. Note: lower response rate (28%)."
CAND_0010685,95,0.6748,"Strong candidate with 6.7 YoE as a NLP Engineer, based in Kolkata, West Bengal. Proven fit with expert alignment in Information Retrieval, Elasticsearch, RAG; on a 30-day notice and highly active (83% response). Note: requires relocation support."
CAND_0025882,96,0.6748,"5.6 YoE as a Senior Software Engineer (ML) showing expert alignment in FAISS, Vector Search, Milvus. Located in Chennai, Tamil Nadu, active with 79% response rate and notice period is 45 days."
CAND_0009236,97,0.6741,"Excellent technical alignment with expert alignment in Pinecone across 6.3 YoE as a AI Specialist. notice period is 120 days, based in Chennai, Tamil Nadu, showing active with 32% response rate. Note: long notice period (120 days), lower response rate (32%)."
CAND_0065878,98,0.6741,"Strong candidate with 7.8 YoE as a Senior Data Scientist, based in Trivandrum, Kerala. Proven fit with expert alignment in RAG, Vector Search; available immediately and active with 48% response rate. Note: requires relocation support, lower response rate (48%)."
CAND_0005509,99,0.6738,"Strong candidate with 6.0 YoE as a Data Scientist, based in Noida, Uttar Pradesh. Proven fit with expert alignment in Qdrant; on a 30-day notice and active with 40% response rate. Note: lower response rate (40%)."
CAND_0043637,100,0.6737,"Excellent technical alignment with expert alignment in Milvus across 5.5 YoE as a Junior ML Engineer. notice period is 45 days, based in Delhi, Delhi, showing highly active (92% response)."
